DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
3,VSPDB,4,Antioch_Bridge_Investigation 2133,154.57529713981756,67.5,38.023,-121.752,609.538945878123,4209.101833053137,10S
3,VSPDB,5,Antioch_Bridge_Investigation 2135,272.0320756977783,70.5,38.026,-121.752,609.5344787917198,4209.434709912627,10S
3,VSPDB,6,Antioch_Bridge_Investigation 2137,116.34140311141044,75.5,38.037,-121.752,609.5180968973826,4210.65525978543,10S
3,VSPDB,7,Antioch_Bridge_Investigation 2139,135.48567820815538,35.0,38.041,-121.752,609.512138840745,4211.099096643623,10S
3,VSPDB,8,Antioch_Toll_Bridge 2141,1049.9966203276028,93.0,38.017,-121.752,609.547879147042,4208.436079820831,10S
3,VSPDB,9,Antioch_Toll_Bridge 2142,666.163475965613,84.5,38.018,-121.752,609.546390352585,4208.547038647819,10S
3,VSPDB,10,Antioch_Toll_Bridge 2143,658.6149114832766,83.0,38.018,-121.752,609.546390352585,4208.547038647819,10S
3,VSPDB,11,Antioch_Toll_Bridge 2144,314.436213670035,77.0,38.019,-121.752,609.5449015246489,4208.6579974928345,10S
3,VSPDB,12,Antioch_Toll_Bridge 2145,133.80961575593741,99.5,38.03,-121.751,609.6162888290218,4209.879724390439,10S
3,VSPDB,13,Antioch_Toll_Bridge 2146,266.8345610307075,99.5,38.032,-121.752,609.5255437150861,4210.100464118303,10S
3,VSPDB,14,Antioch_Toll_Bridge 2147,238.25328010722393,99.5,38.033,-121.752,609.5240544184894,4210.2114232156755,10S
3,VSPDB,15,Antioch_Toll_Bridge 2148,198.32673034063862,99.5,38.033,-121.752,609.5240544184894,4210.2114232156755,10S
3,VSPDB,16,Antioch_Toll_Bridge 2149,81.23158138083814,94.5,38.034,-121.752,609.5225650884203,4210.322382331073,10S
3,VSPDB,17,Antioch_Toll_Bridge 2150,83.85101733717853,94.5,38.035,-121.752,609.5210757248792,4210.433341464496,10S
3,VSPDB,18,Antioch_Toll_Bridge 2151,115.3415800060262,99.5,38.035,-121.752,609.5210757248792,4210.433341464496,10S
3,VSPDB,19,Antioch_Toll_Bridge 2152,170.93779742444627,99.5,38.036,-121.752,609.5195863278666,4210.544300615949,10S
3,VSPDB,20,Antioch_Toll_Bridge 2153,166.1030177409202,99.5,38.036,-121.752,609.5195863278666,4210.544300615949,10S
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,10S
3,VSPDB,22,Antioch_Toll_Bridge 2155,133.4362001878438,39.5,38.038,-121.752,609.5166074334281,4210.766218972936,10S
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,10S
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,10S
3,VSPDB,25,Antioch_Toll_Bridge 2159,311.1680867331755,99.5,38.039,-121.751,609.6028738118935,4210.87835668362,10S
3,VSPDB,26,Antioch_Toll_Bridge 2160,290.20948876032924,99.5,38.04,-121.751,609.6013830869456,4210.989315917435,10S
3,VSPDB,27,Antioch_Toll_Bridge 2161,354.61916579083885,99.5,38.041,-121.752,609.512138840745,4211.099096643623,10S
